id;placed_date;status;code;invoice_id;customer_id
1;2020-09-22T02:12:41;COMPLETED;Georgia calculate withdrawal;virtual violet Corporate;1
2;2020-09-21T12:35:08;CANCELLED;Health Music Expanded;THX Marketing Generic Plastic Hat;2
3;2020-09-21T11:10:52;CANCELLED;revolutionize harness Kyat;Toys Implementation;3
4;2020-09-22T00:30:33;COMPLETED;circuit backing up Orchestrator;Small Concrete Cheese connecting;4
5;2020-09-22T07:41:28;COMPLETED;target;orchid;5
6;2020-09-21T19:30:05;CANCELLED;input;Chair Human;6
7;2020-09-21T12:40:35;CANCELLED;payment;navigate Beauty;7
8;2020-09-21T12:48:06;CANCELLED;Spain Bike proactive;hack green Streamlined;8
9;2020-09-22T01:19:00;PENDING;back up front-end eco-centric;FTP;9
10;2020-09-22T08:06:00;COMPLETED;bluetooth matrix;Papua New Guinea West Virginia Unbranded Wooden Gloves;10
